proc_id,proc_name,proc_category
VDB0003,Cholecystectomy,Biliary/Pancreas
VDB0004,Kidney transplantation,Transplantation
VDB0005,Anterior resection,Colorectal
VDB0006,Ligation and stripping,Vascular
VDB0007,Breast-conserving surgery,Breast
VDB0008,Thyroid lobectomy,Thyroid
VDB0009,Hernia repair,Colorectal
VDB0010,Total thyroidectomy,Thyroid
VDB0011,Pylorus preserving gastrectomy,Stomach
VDB0012,Hemicolectomy,Colorectal
VDB0013,Liver transplantation,Transplantation
VDB0014,Donor hepatectomy,Transplantation
VDB0015,Low anterior resection,Colorectal
VDB0016,Ileostomy repair,Colorectal
VDB0017,Incisional hernia repair,Colorectal
VDB0018,Total gastrectomy,Stomach
VDB0019,Radical prostatectomy,Major resection
VDB0020,Pylorus preserving pancreaticoduodenectomy,Biliary/Pancreas
VDB0021,Donor nephrectomy,Transplantation
VDB0022,Lung wedge resection,Minor resection
VDB0023,Hemihepatectomy,Hepatic
VDB0024,Diagnostic laparoscopy,Others
VDB0025,Ovarian cystectomy,Major resection
VDB0026,Fistulectomy,Colorectal
VDB0027,Appendectomy,Colorectal
VDB0028,Subtotal gastrectomy,Stomach
VDB0029,Liver segmentectomy,Hepatic
VDB0030,Transurethral resection of bladder tumor,Minor resection
VDB0031,Bullectomy,Minor resection
VDB0032,Partial pancreatectomy,Biliary/Pancreas
VDB0033,Salpingo-oophorectomy,Minor resection
VDB0034,Extended cholecystectomy,Biliary/Pancreas
VDB0035,Arteriovenous fistula,Vascular
VDB0036,Gastric wedge resection,Stomach
VDB0037,Simple mastectomy,Breast
VDB0038,Radical hysterectomy,Major resection
VDB0039,Extended hemihepatectomy,Hepatic
VDB0040,Partial gastrectomy,Stomach
VDB0041,Total mastectomy,Breast
VDB0042,Liver sectionectomy,Hepatic
VDB0043,Esophagectomy,Others
VDB0044,Debridement of wound,Others
VDB0045,Lung sgmentectomy,Minor resection
VDB0046,Extended hemicolectomy,Colorectal
VDB0047,Exploratory laparotomy,Others
VDB0048,Thymectomy,Others
VDB0049,Aortoiliac bypass,Vascular
VDB0050,Endarterectomy,Vascular
VDB0051,Excision,Others
VDB0052,Myomectomy,Minor resection
VDB0053,Metastasectomy,Minor resection
VDB0054,Aneurysmal repair,Vascular
VDB0055,Splenectomy,Biliary/Pancreas
VDB0056,Cesarean section,Others
VDB0057,Pancreaticoduodenectomy,Biliary/Pancreas
VDB0058,Lung bilobectomy,Major resection
VDB0059,Bleeding control,Others
VDB0060,Nephrectomy,Major resection
VDB0061,Hysterectomy,Major resection
VDB0062,Parathyroidectomy,Thyroid
VDB0063,Transanal excision,Colorectal
VDB0064,Proximal gastrectomy,Stomach
VDB0065,Wide excision,Others
VDB0066,Ultralow anterior resection,Colorectal
VDB0067,Distal pancreatectomy,Biliary/Pancreas
VDB0068,Hemorrhoidectomy,Colorectal
VDB0069,Abdominoperineal resection,Colorectal
VDB0070,Excision,Breast
VDB0071,Lung transplantation,Transplantation
VDB0072,Hartmann procedure,Colorectal
VDB0073,Completion thyroidectomy,Thyroid
VDB0074,Removal of continuous ambulatory peritoneal dialysis catheter,Vascular
VDB0075,Colostomy,Colorectal
VDB0076,Biopsy,Minor resection
VDB0077,Adrenalectomy,Others
VDB0078,Extended hysterectomy,Major resection
VDB0079,Remnant total gastrectomy,Stomach
VDB0080,Pneumonectomy,Major resection
VDB0081,Thoracic sympathectomy,Others
VDB0082,Modified radical neck dissection,Others
VDB0083,Exploratory laparotomy,Major resection
VDB0084,Excision,Colorectal
VDB0085,Closure of wound,Others
VDB0086,Incision and drainage,Others
VDB0087,Adhesiolysis,Others
VDB0088,Endovascular aneurysmal repair,Vascular
VDB0089,Subtotal parathyroidectomy,Thyroid
VDB0090,Delorme's operation,Colorectal
VDB0091,Rectal prolapse operation,Colorectal
VDB0092,Aortorenal bypass,Vascular
VDB0093,Small bowel segmental resection,Stomach
VDB0094,Spleen preserving distal pancreatectomy,Biliary/Pancreas
VDB0095,Nephrectomy,Transplantation
VDB0096,Ileocecectomy,Colorectal
VDB0097,Resection of chest wall with reconstruction,Others
VDB0098,Transverse colectomy,Colorectal
VDB0099,Segmental resection of bile duct,Biliary/Pancreas
VDB0100,Excision,Biliary/Pancreas
VDB0101,Total proctocolectomy,Colorectal
VDB0102,Femoro-popliteal bypass,Vascular
VDB0103,Choledochal cyst excision,Biliary/Pancreas
