"dx","opname","optype","approach","position","count","ml_base_category","ml_confidence_pct","Level1_magnitude","Level2_domain","Level3_approach","Level4_subtype","Level5_modifiers","Level6_secondary_variables"
"Pneumothorax","Lung wedge resection","Minor resection","Videoscopic","Left lateral decubitus","1","Minor resection","79.5","Major","Thoracic","Laparoscopic","Thoracic Resection","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Lung cancer right","Pneumonectomy","Major resection","Open","Left lateral decubitus","1","Major resection","69.8","Major","Thoracic","Open","Thoracic Resection","Malignancy | Primary | Lateral Decubitus","Est.Duration:3-6hr"
"Lung cancer left","Debridement of wound","Others","Open","Right lateral decubitus","1","Others","76.1","Minor","Soft Tissue / Access / Misc","Open","Other Procedure","Malignancy | Primary | Lateral Decubitus","Est.Duration:<2hr"
"Neuroendocrine tumor of pancreas, G1","Partial pancreatectomy","Biliary/Pancreas","Open","Supine","1","Biliary/Pancreas","55.4","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Supine","Est.Duration:2-5hr"
"Colorectal cancer","Anterior resection","Colorectal","Videoscopic","Supine","1","Colorectal","74.0","Major","Abdominal / GI","Laparoscopic","Colectomy / Bowel Resection","Malignancy | Primary | Supine","Est.Duration:1-3hr"
"Alveolar soft part sarcoma","Metastasectomy","Minor resection","Videoscopic","Right lateral decubitus","1","Minor resection","65.8","Major","Thoracic","Laparoscopic","Other Procedure","Malignancy | Primary | Lateral Decubitus","Est.Duration:1-3hr"
"Cervical cancer, stage 1B1","Modified radical hysterectomy","Major resection","Robotic","Lithotomy","1","Major resection","75.4","Major","Abdominal / GI","Robotic","Other Procedure","Malignancy | Primary | Lithotomy","Est.Duration:2-5hr"
"Myoma uteri","Extended hysterectomy","Major resection","Videoscopic","Trendelenburg","1","Major resection","81.1","Major","Abdominal / GI","Laparoscopic","Other Procedure","Benign/Non-malignant | Primary | Trendelenburg","Est.Duration:2-4hr"
"Early gastric cancer","Proximal gastrectomy","Stomach","Robotic","Supine","1","Stomach","73.4","Major","Abdominal / GI","Robotic","Gastric Resection","Malignancy | Primary | Supine","Est.Duration:3-6hr"
"Septic shock","Exploratory laparotomy","Others","Open","Supine","1","Others","80.7","Major","Soft Tissue / Access / Misc","Open","Other Procedure","Benign/Non-malignant | Primary | Supine","Est.Duration:2-4hr"
"Bladder disease","Transurethral resection of bladder tumor","Minor resection","Videoscopic","Lithotomy","1","Minor resection","85.1","Minor","Urology","Laparoscopic","Cystoscopy / TURBT","Benign/Non-malignant | Primary | Lithotomy","Est.Duration:<2hr"
"Lung cancer right","Lung wedge resection","Minor resection","Videoscopic","Right lateral decubitus","1","Minor resection","75.4","Major","Thoracic","Laparoscopic","Thoracic Resection","Malignancy | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Metastatic cancer to the liver","Liver sectionectomy","Hepatic","Open","Lithotomy","1","Hepatic","64.8","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Lithotomy","Est.Duration:2-5hr"
"Liver donor","Liver transplantation","Transplantation","Open","Lithotomy","1","Transplantation","68.0","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Benign/Non-malignant | Primary | Transplant/Reconstruction | Lithotomy","Est.Duration:>6hr"
"Tuberculous peritonitis","Peritoneal mass excision","Others","Videoscopic","Supine","1","Others","74.0","Major","Soft Tissue / Access / Misc","Laparoscopic","Other Procedure","Benign/Non-malignant | Primary | Supine","Est.Duration:1-3hr"
"Epithelial ovarian cancer, stage 4 unspecified side","Debulking surgery","Major resection","Open","Supine","1","Major resection","51.8","Major","Abdominal / GI","Open","Other Procedure","Malignancy | Primary | Supine","Est.Duration:2-5hr"
"Colon cancer, splenic flexure","Hemicolectomy","Colorectal","Open","Lithotomy","1","Colorectal","64.1","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Primary | Lithotomy","Est.Duration:2-4hr"
"Aneurysm, abdominal aorta","Embolectomy","Vascular","Open","Supine","1","Vascular","63.9","Major","Vascular","Open","Vascular Reconstruction","Benign/Non-malignant | Primary | Supine","Est.Duration:2-4hr"
"Empyema with bronchopleural fistula","Debridement of wound","Others","Open","Right lateral decubitus","1","Others","66.6","Minor","Soft Tissue / Access / Misc","Open","Other Procedure","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:<2hr"
"Bacteremia","Revision of arteriovenous fistula","Vascular","Open","Supine","1","Vascular","83.9","Minor","Vascular","Open","Vascular Reconstruction","Benign/Non-malignant | Revision | Supine","Est.Duration:2-4hr"
"Colon cancer, hepatic flexure","subtotal colectomy","Colorectal","Videoscopic","Lithotomy","1","Colorectal","67.9","Major","Abdominal / GI","Laparoscopic","Colectomy / Bowel Resection","Malignancy | Primary | Lithotomy","Est.Duration:2-4hr"
"Endocrine tumor","Liver segmentectomy","Hepatic","Open","Supine","1","Hepatic","76.2","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Supine","Est.Duration:2-5hr"
"Intraductal papillary mucinous neoplasm of pancreas, borderline","Distal pancreatectomy","Biliary/Pancreas","Videoscopic","Supine","1","Biliary/Pancreas","51.0","Major","Abdominal / GI","Laparoscopic","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Supine","Est.Duration:2-4hr"
"Colon cancer, splenic flexure","Subtotal colectomy","Colorectal","Open","Lithotomy","1","Colorectal","67.9","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Primary | Lithotomy","Est.Duration:2-4hr"
"Ruptured aneurysm, thoracoabdominal aorta","Exploratory laparotomy","Others","Open","Supine","1","Others","66.2","Major","Soft Tissue / Access / Misc","Open","Other Procedure","Benign/Non-malignant | Primary | Supine","Est.Duration:2-4hr"
"Ureter cancer unspecified side","Ileostomy","Colorectal","Open","Supine","1","Colorectal","65.7","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Primary | Supine","Est.Duration:1-3hr"
"Secondary pneumothorax","Lung wedge resection","Minor resection","Videoscopic","Right lateral decubitus","1","Minor resection","72.2","Major","Thoracic","Laparoscopic","Thoracic Resection","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Pancreatic cyst","Pylorus preserving pancreaticoduodenectomy","Biliary/Pancreas","Robotic","Supine","1","Biliary/Pancreas","85.7","Major","Abdominal / GI","Robotic","Hepatobiliary / Pancreatic Resection","Benign/Non-malignant | Primary | Supine","Est.Duration:>6hr"
"Alcoholic liver cirrhosis with ascites","Liver transplantation","Transplantation","Open","Lithotomy","1","Transplantation","68.2","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Benign/Non-malignant | Primary | Transplant/Reconstruction | Lithotomy","Est.Duration:>6hr"
"Stomach cancer unspecified","Incisional hernia repair","Colorectal","Videoscopic","Supine","1","Colorectal","72.5","Minor","Abdominal / GI","Laparoscopic","Colectomy / Bowel Resection","Malignancy | Revision | Supine","Est.Duration:<2hr"
